Shipment_ID,Tracking_Code,Carrier_Name,Origin_Facility,Destination_Facility,Cargo_Type,Cargo_Value_USD,Route_Distance_KM,Route_Type,Ambient_Avg_Temp_C,Ambient_Peak_Temp_C,Reefer_Set_Point_C,Reefer_Internal_Temp_C,Reefer_Max_Internal_Temp_C,Compressor_Age_Years,Compressor_Run_Hours,Compressor_Vibration_RMS,Door_Open_Events,Door_Open_Total_Mins,Insulation_Seal_Score,Thermal_Excursion_Minutes,Mean_Kinetic_Temp_C,Quality_Degradation_Score,Spoilage_Flag,Predicted_Spoilage_Risk,Risk_Category,Prescriptive_Action
SHP-1022,AB-REEFER-8022,ThermoHaul Freight,Gujarat BioPharma Park,Goa Coastal Transit Hub,Pharma Biologics & Vaccines,183402.96,421,Mid Haul,27.03,32.44,4.0,7.05,9.39,2.7,6.8,0.531,1,7,62.4,70,7.94,45.56,0,0.0782,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1023,AB-REEFER-8023,ThermoHaul Freight,Maharashtra Distribution Center,Hyderabad Metro Depot,Frozen Foods & Confectionery,24825.71,920,Long Haul,39.04,41.94,-20.0,-18.91,-13.63,7.7,19.83,0.528,3,33,85.8,16,-16.9,7.51,0,0.0015,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1024,AB-REEFER-8024,ThermoHaul Freight,Maharashtra Distribution Center,Hyderabad Metro Depot,Fresh Dairy & Perishables,23277.53,546,Mid Haul,32.61,35.46,2.5,3.18,6.74,4.0,12.49,0.637,5,24,83.4,96,4.53,48.68,0,0.0254,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1025,AB-REEFER-8025,ArcticLogistics Global,Punjab Regional Cold Hub,Hyderabad Metro Depot,Pasteurized Keg Beer / Premium Lager,41200.09,253,Short Haul,29.6,33.0,3.5,5.14,8.76,1.2,6.18,0.71,3,32,76.7,41,6.52,31.28,0,0.0023,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1026,AB-REEFER-8026,PolarTrans Logistics,Haryana Bottling Facility,Mumbai Urban Distribution Center,Pasteurized Keg Beer / Premium Lager,45934.41,874,Long Haul,32.97,39.56,3.5,4.47,7.44,1.5,13.66,0.43,2,21,75.6,0,5.6,3.53,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1027,AB-REEFER-8027,ColdFleet Express,Haryana Bottling Facility,Hyderabad Metro Depot,Pharma Biologics & Vaccines,189781.04,404,Mid Haul,37.34,40.37,4.0,5.46,8.94,5.0,10.42,0.552,3,13,91.8,81,6.78,43.63,0,0.0085,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1028,AB-REEFER-8028,ColdFleet Express,AB InBev Brewery - Bengaluru Hub,Delhi NCR Mega Fulfillment,Pharma Biologics & Vaccines,114394.91,1299,Cross-Country,27.67,33.79,4.0,4.44,6.21,5.1,23.71,0.246,1,7,95.1,0,5.11,0.0,0,0.0014,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1029,AB-REEFER-8029,ThermoHaul Freight,Maharashtra Distribution Center,Kolkata Eastern Terminal,Pharma Biologics & Vaccines,147594.39,224,Short Haul,30.21,34.51,4.0,5.85,9.44,1.2,3.78,0.415,2,20,76.7,210,7.21,44.89,0,0.0621,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1030,AB-REEFER-8030,ThermoHaul Freight,Gujarat BioPharma Park,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,48283.16,1128,Cross-Country,30.44,37.2,3.5,4.92,9.02,0.5,29.02,0.461,3,17,76.3,55,6.48,23.35,0,0.0014,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1031,AB-REEFER-8031,ArcticLogistics Global,Punjab Regional Cold Hub,Hyderabad Metro Depot,Pharma Biologics & Vaccines,118355.18,473,Mid Haul,28.04,34.86,4.0,5.44,10.23,2.4,9.75,0.653,2,27,93.8,43,7.26,7.63,0,0.0019,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1032,AB-REEFER-8032,PolarTrans Logistics,Gujarat BioPharma Park,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,45076.69,494,Mid Haul,35.99,40.4,3.5,5.77,9.63,2.1,12.09,0.776,3,13,85.8,92,7.24,54.92,1,0.561,Moderate Risk (Monitor),WARNING: Schedule Reefer Compressor Inspection & Door Seal Re-calibration at Hub
SHP-1033,AB-REEFER-8033,ArcticLogistics Global,Gujarat BioPharma Park,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,44745.55,574,Mid Haul,37.89,43.45,3.5,5.45,9.18,1.3,11.2,0.624,2,11,94.5,102,6.87,47.14,0,0.0158,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1034,AB-REEFER-8034,PolarTrans Logistics,Punjab Regional Cold Hub,Hyderabad Metro Depot,Pasteurized Keg Beer / Premium Lager,43230.43,900,Long Haul,38.62,43.71,3.5,5.42,8.21,4.0,19.46,0.514,1,9,65.3,42,6.48,33.92,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1035,AB-REEFER-8035,ThermoHaul Freight,Haryana Bottling Facility,Hyderabad Metro Depot,Pharma Biologics & Vaccines,196778.64,735,Long Haul,31.53,35.61,4.0,6.08,9.99,6.7,15.79,0.744,1,12,82.3,73,7.57,43.9,0,0.0129,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1036,AB-REEFER-8036,ThermoHaul Freight,Gujarat BioPharma Park,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,23558.7,607,Mid Haul,38.58,42.09,3.5,4.93,9.35,2.6,13.02,0.763,1,12,81.2,80,6.61,24.3,0,0.015,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1037,AB-REEFER-8037,ThermoHaul Freight,Haryana Bottling Facility,Kolkata Eastern Terminal,Fresh Dairy & Perishables,23602.79,684,Long Haul,37.51,44.46,2.5,3.86,9.01,1.1,10.76,0.841,3,33,92.3,86,5.82,39.08,0,0.0195,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1038,AB-REEFER-8038,ArcticLogistics Global,Haryana Bottling Facility,Hyderabad Metro Depot,Frozen Foods & Confectionery,21603.78,1006,Cross-Country,31.77,34.61,-20.0,-17.95,-12.5,6.6,22.58,0.876,8,36,70.6,27,-15.88,15.59,0,0.0018,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1039,AB-REEFER-8039,ColdFleet Express,AB InBev Brewery - Bengaluru Hub,Hyderabad Metro Depot,Pasteurized Keg Beer / Premium Lager,51863.13,703,Long Haul,39.69,44.8,3.5,6.11,15.47,1.0,12.53,0.268,12,128,65.5,148,9.67,100.0,1,0.9972,Critical Risk (Immediate Action),CRITICAL: Inspect for Flavour Skunking & Colloidal Haze at Inbound Gate; Reroute to Priority Cross-Dock
SHP-1040,AB-REEFER-8040,PolarTrans Logistics,AB InBev Brewery - Bengaluru Hub,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,30547.24,974,Long Haul,33.41,38.1,3.5,5.18,9.19,2.2,16.53,0.394,2,24,92.2,22,6.7,7.47,0,0.0015,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1041,AB-REEFER-8041,ArcticLogistics Global,Punjab Regional Cold Hub,Mumbai Urban Distribution Center,Pharma Biologics & Vaccines,243524.3,1076,Cross-Country,29.46,34.29,4.0,5.73,8.01,7.0,24.83,0.836,1,9,76.9,18,6.6,14.1,0,0.0014,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1042,AB-REEFER-8042,ThermoHaul Freight,AB InBev Brewery - Bengaluru Hub,Goa Coastal Transit Hub,Pharma Biologics & Vaccines,205306.69,306,Mid Haul,28.43,31.08,4.0,4.99,8.67,8.3,6.36,0.548,1,6,81.7,58,6.39,11.01,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1043,AB-REEFER-8043,PolarTrans Logistics,Haryana Bottling Facility,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,35236.71,687,Long Haul,35.69,42.78,3.5,5.05,10.43,3.4,14.14,0.531,3,29,78.4,46,7.09,34.79,0,0.002,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1044,AB-REEFER-8044,ColdFleet Express,Punjab Regional Cold Hub,Kolkata Eastern Terminal,Fresh Dairy & Perishables,29802.03,945,Long Haul,40.15,46.15,2.5,4.93,8.02,1.3,21.04,0.396,1,7,87.4,90,6.1,46.52,0,0.0261,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1045,AB-REEFER-8045,ThermoHaul Freight,Gujarat BioPharma Park,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,38575.03,922,Long Haul,34.32,37.53,3.5,4.67,6.59,6.7,20.04,0.399,3,13,67.0,0,5.4,15.97,0,0.0012,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1046,AB-REEFER-8046,ThermoHaul Freight,Haryana Bottling Facility,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,23445.58,757,Long Haul,31.76,39.04,3.5,4.65,8.48,4.5,15.05,0.341,2,9,75.6,80,6.11,33.0,0,0.015,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1047,AB-REEFER-8047,ArcticLogistics Global,AB InBev Brewery - Bengaluru Hub,Hyderabad Metro Depot,Pasteurized Keg Beer / Premium Lager,33929.43,235,Short Haul,38.2,42.97,3.5,4.46,7.18,2.6,4.51,0.84,1,7,83.3,0,5.49,10.04,0,0.002,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1048,AB-REEFER-8048,PolarTrans Logistics,AB InBev Brewery - Bengaluru Hub,Mumbai Urban Distribution Center,Pasteurized Keg Beer / Premium Lager,30287.12,507,Mid Haul,41.71,46.85,3.5,4.5,8.7,7.8,12.26,0.804,2,22,97.1,57,6.1,28.02,0,0.0021,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1049,AB-REEFER-8049,ArcticLogistics Global,Haryana Bottling Facility,Kolkata Eastern Terminal,Frozen Foods & Confectionery,41143.37,1166,Cross-Country,32.28,39.05,-20.0,-17.81,-4.21,6.7,22.38,0.533,16,186,90.9,234,-12.64,100.0,1,0.9318,Critical Risk (Immediate Action),CRITICAL: High Quality Degradation Detected; Expedite Destination QA Inspection
SHP-1050,AB-REEFER-8050,ColdFleet Express,AB InBev Brewery - Bengaluru Hub,Kolkata Eastern Terminal,Fresh Dairy & Perishables,15854.88,224,Short Haul,39.87,43.78,2.5,4.58,10.11,8.1,4.14,0.627,5,34,81.1,167,6.68,97.9,1,0.8696,Critical Risk (Immediate Action),CRITICAL: High Quality Degradation Detected; Expedite Destination QA Inspection
SHP-1051,AB-REEFER-8051,ColdFleet Express,AB InBev Brewery - Bengaluru Hub,Kolkata Eastern Terminal,Pharma Biologics & Vaccines,189276.93,576,Mid Haul,26.87,34.24,4.0,6.29,13.16,2.3,11.42,0.357,5,68,62.1,164,8.9,97.17,1,0.9891,Critical Risk (Immediate Action),CRITICAL: Quash for Biologics Potency & Cold-Chain Excursion Audit; Do Not Release to Cold-Room
SHP-1052,AB-REEFER-8052,ThermoHaul Freight,Gujarat BioPharma Park,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,43035.1,991,Long Haul,37.63,42.94,3.5,4.7,8.66,8.1,18.59,0.306,5,39,91.1,58,6.2,27.96,0,0.0021,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1053,AB-REEFER-8053,PolarTrans Logistics,Gujarat BioPharma Park,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,42144.37,754,Long Haul,36.12,39.61,3.5,5.12,8.27,3.8,11.33,0.394,2,27,72.2,138,6.32,47.22,0,0.1129,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1054,AB-REEFER-8054,ArcticLogistics Global,Maharashtra Distribution Center,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,50342.09,379,Mid Haul,37.78,44.69,3.5,5.0,9.18,2.1,7.72,0.704,1,9,77.1,40,6.59,6.92,0,0.0022,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1055,AB-REEFER-8055,PolarTrans Logistics,Maharashtra Distribution Center,Mumbai Urban Distribution Center,Pharma Biologics & Vaccines,246366.92,924,Long Haul,40.92,46.14,4.0,5.71,8.69,2.1,18.87,0.748,1,7,81.3,24,6.84,13.43,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1056,AB-REEFER-8056,ArcticLogistics Global,Gujarat BioPharma Park,Kolkata Eastern Terminal,Fresh Dairy & Perishables,32340.34,148,Short Haul,33.09,38.36,2.5,4.14,6.97,2.5,2.21,0.852,1,12,92.6,38,5.22,12.51,0,0.0033,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1057,AB-REEFER-8057,ArcticLogistics Global,Haryana Bottling Facility,Hyderabad Metro Depot,Pasteurized Keg Beer / Premium Lager,51587.4,694,Long Haul,32.64,38.91,3.5,5.13,9.78,7.5,12.22,0.76,2,18,69.5,77,6.9,32.24,0,0.0122,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1058,AB-REEFER-8058,ThermoHaul Freight,Maharashtra Distribution Center,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,28238.69,483,Mid Haul,26.67,31.57,3.5,4.08,8.66,2.0,9.72,0.6,3,27,98.3,47,5.82,23.79,0,0.0021,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1059,AB-REEFER-8059,ThermoHaul Freight,Maharashtra Distribution Center,Hyderabad Metro Depot,Pharma Biologics & Vaccines,196006.21,856,Long Haul,35.35,38.52,4.0,5.0,9.28,4.1,20.16,0.512,3,31,82.3,89,6.63,47.79,0,0.0073,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1060,AB-REEFER-8060,ArcticLogistics Global,AB InBev Brewery - Bengaluru Hub,Kolkata Eastern Terminal,Fresh Dairy & Perishables,14088.19,277,Short Haul,41.98,46.11,2.5,5.16,8.27,6.5,5.46,0.948,1,8,70.9,64,6.34,47.71,0,0.1868,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1061,AB-REEFER-8061,ArcticLogistics Global,Maharashtra Distribution Center,Delhi NCR Mega Fulfillment,Fresh Dairy & Perishables,23007.91,391,Mid Haul,37.05,43.04,2.5,5.07,9.05,5.7,7.38,0.67,1,11,84.2,70,6.58,43.65,0,0.0421,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1062,AB-REEFER-8062,ColdFleet Express,AB InBev Brewery - Bengaluru Hub,Mumbai Urban Distribution Center,Frozen Foods & Confectionery,18212.69,1131,Cross-Country,32.17,35.03,-20.0,-18.47,-16.27,2.2,24.82,0.387,1,5,65.7,0,-17.63,11.89,0,0.0012,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1063,AB-REEFER-8063,ThermoHaul Freight,Gujarat BioPharma Park,Mumbai Urban Distribution Center,Fresh Dairy & Perishables,22766.64,416,Mid Haul,37.87,42.83,2.5,4.0,6.65,4.4,6.75,0.842,2,17,77.1,135,5.01,49.17,0,0.0602,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1064,AB-REEFER-8064,ThermoHaul Freight,Punjab Regional Cold Hub,Kolkata Eastern Terminal,Pharma Biologics & Vaccines,240593.01,1012,Cross-Country,36.04,42.29,4.0,4.99,9.67,1.7,19.08,0.252,12,52,80.0,120,6.77,43.39,0,0.0884,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1065,AB-REEFER-8065,ThermoHaul Freight,Maharashtra Distribution Center,Kolkata Eastern Terminal,Frozen Foods & Confectionery,27208.92,860,Long Haul,27.4,31.31,-20.0,-18.93,-15.37,3.8,17.35,0.406,3,29,63.5,0,-17.58,13.08,0,0.0019,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1066,AB-REEFER-8066,PolarTrans Logistics,Haryana Bottling Facility,Mumbai Urban Distribution Center,Pharma Biologics & Vaccines,101418.32,134,Short Haul,40.48,46.22,4.0,4.94,10.37,2.7,2.81,0.268,5,43,96.8,116,7.0,44.8,0,0.1406,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1067,AB-REEFER-8067,ColdFleet Express,Punjab Regional Cold Hub,Mumbai Urban Distribution Center,Fresh Dairy & Perishables,22207.6,698,Long Haul,27.9,35.3,2.5,3.58,9.75,2.2,17.44,0.749,5,46,63.2,141,5.92,52.29,1,0.8027,Critical Risk (Immediate Action),CRITICAL: High Quality Degradation Detected; Expedite Destination QA Inspection
SHP-1068,AB-REEFER-8068,PolarTrans Logistics,AB InBev Brewery - Bengaluru Hub,Goa Coastal Transit Hub,Fresh Dairy & Perishables,32616.4,719,Long Haul,30.99,34.74,2.5,4.59,6.23,5.7,12.56,0.895,1,6,93.3,58,5.21,7.76,0,0.0028,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
